,nike,adidas,newbalance,asics,Suppose_brand
spirited,0.0,1.9831349206349207,0.0,1.9880656389855793,Nike
aggressive,0.32112449799196785,0.6610449735449735,0.5265376004214408,2.3194099121498426,Nike
excited,0.7706987951807229,1.5865079365079364,1.2636902410114579,0.7952262555942318,Nike
athlete,0.0,2.644179894179894,0.0,1.325377092657053,Nike
authentic,0.48168674698795183,2.974702380952381,0.3949032003160806,0.0,Adidas
leading,0.0,0.0,0.0,3.9761312779711586,Adidas
practical,0.0,1.9831349206349207,0.0,1.9880656389855793,Adidas
trust,1.133380581148122,0.4666199813258637,1.4866944011899506,1.1694503758738701,Adidas
fashion,0.7706987951807229,1.8509259259259259,1.0530752008428816,0.5301508370628212,NewBalance
retro,0.0,3.9662698412698414,0.0,0.0,NewBalance
lifestyle,1.5413975903614459,0.7932539682539682,1.8955353615171868,0.0,NewBalance
forward,0.8892678405931418,1.2203907203907205,0.7290520621219949,1.3763531346823241,NewBalance
bright,0.7006352683461117,0.7211399711399712,0.8616069825078122,1.8073323990777994,Asics
happy,1.0402968528104815,0.6786393264530146,1.0690915537074122,1.269943069770256,Asics
positive,0.9633734939759037,0.4957837301587302,1.5796128012643225,1.9880656389855793,Asics
selected,0.0,1.322089947089947,0.0,2.650754185314106,Asics
